Locations,Areas,Airports / Airstrips
Arusha,Town,Arusha Airport
Arusha,Usa River,Kilimanjaro International Airport (JRO)
Arusha,Usa River,Dolly for Kiligolf
Dar es Salaam,,Julius Nyerere International Airport (DAR)
Gombe Stream National Park,,Kigoma Airport
Karatu,,Lake Manyara Airstrip
Katavi National Park,,Mpanda Airport
Kilwa,,Kilwa Masoko Airport
Lake Manyara National Park,Karatu,Lake Manyara Airstrip
Lake Natron,,Lake Manyara Airstrip
Mafia Island,,Mafia Airport
Mahale Mountains National Park,,Mahale airstrip
Mahale Mountains National Park,,Kigoma Airport
Mikumi National Park,,Kikoboga Airstrip
Mkomazi National Park,,Same Airstrip
Moshi,,Kilimanjaro International Airport (JRO)
Lake Victoria,Musoma,Musoma Airport
Lake Victoria,Mwanza,Mwanza Airport
Ngorongoro Conservation,,Lake Manyara Airstrip
Ngorongoro Conservation,,Lake Ndutu Airstrip
Pangani,,Mashado Airstrip
Pemba Island,,Pemba Airport
Ruaha National Park,,Msembe Airstrip
Rubondo National Park,,Rubondo Airstrip
Saadani National Park,,Saadani Airstrip
Selous Game Reserve,,Mtemere Airstrip
Serengeti National Park,"Ikoma, North",Ikoma Airstrip
Serengeti National Park,"Seronera, Central",Seronera Airstrip
Serengeti National Park,"Namiri, Southeastern",Seronera Airstrip
Serengeti National Park,"Lake Ndutu, South",Lake Ndutu Airstrip
Serengeti National Park,"Grumeti, Northwestern",Singita Sasakwa Airstrip
Serengeti National Park,"Maswa Game Reserve, South",Mwiba Airstrip
Serengeti National Park,"Lobo, Northeastern",Lobo Airstrip
Serengeti National Park,"Lamai (Masai River), North",Kogatende Airstrip
Serengeti National Park,"Lamai (Masai River), North",Lamai Airstrip
Serengeti National Park,"Grumeti, Northwestern",Grumeti Airstrip
Songo Songo Island,,Songo Songo Airstrip
Tanga,,Tanga Airport
Tarangire National Park,,Kuro Airstrip
Tarime,,Tarime Airstrip
Zanzibar,"Nungwi, North",Abeid Amani Karume International Airport (ZNZ)
Zanzibar,"Kendwa, Northwestern",Abeid Amani Karume International Airport (ZNZ)
Zanzibar,"Matemwe, Northeastern",Abeid Amani Karume International Airport (ZNZ)
Zanzibar,"Kiwengwa, East",Abeid Amani Karume International Airport (ZNZ)
Zanzibar,"Stone Town, Central",Abeid Amani Karume International Airport (ZNZ)
Zanzibar,"Kizimkazi, South",Abeid Amani Karume International Airport (ZNZ)
Zanzibar,"Paje, Southeastern",Abeid Amani Karume International Airport (ZNZ)
Zanzibar,"Bwejuu, Southeastern",Abeid Amani Karume International Airport (ZNZ)
